MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20
244925000.csv,Kalman,18.800353017814473,34.38952339815993,77.22923571716174,105.45577574114986,139.6374236029164,326.47935518684955,381.5283755512191,471.76802812122867,562.3262879624424,582.3538138808364,616.997075379944,769.693827311116,914.3721710447013,957.5140494871204,856.0145683166071,1425.851885366379,1626.135784274329,1917.4298229701828,2354.3363107922955,1755.8825613349818
244925000.csv,Linear,26.787808037145773,38.54075180770075,57.906179504324086,68.79425592863262,77.91794211108068,188.84658403135256,198.0814125838554,210.3690959708566,221.43585132774754,229.1884474473429,239.599852082385,247.12157610006187,270.24779463047463,275.0713264134488,279.06100588544433,930.4116864009296,950.1196873820741,959.0449801316036,997.2219313678646,1049.939776165999
247224200.csv,Kalman,19.82822439967997,41.96105517054388,72.62195720674539,120.67788412846544,154.26336050974203,202.29546198046518,301.66318609260117,336.98830160347,494.55607104002127,611.5918585471753,647.2413428694402,1011.3077280253565,1192.4671434715556,1866.971239273618,2447.266528373107,5350.533248588363,9875.914679290297,12211.650006694099,9820.254527359959,9239.055915591882
247224200.csv,Linear,66.75152899761189,92.96936420621928,119.11668053095262,148.845208890123,178.03532546089036,198.71031702495463,236.6892274744326,276.2593838497195,328.94073833384726,339.58731970210073,399.4220720415031,469.8348797668272,571.0787564764188,730.2755052244762,940.7566072488811,1201.686345013355,2639.9615530047845,3560.958153823298,2824.6809918131385,3685.9251313684854
249104000.csv,Kalman,9.765540440766983,12.468971092888799,18.542902989055296,25.65061772547633,37.243073974350345,51.59145823542777,64.1213028274716,88.43951578416888,96.4869403614508,111.37224562992324,124.86901989543442,174.43655176042756,183.2056487437058,187.3884933418829,190.68608095894808,161.21225701285337,152.5610044274933,300.96270875706057,289.1858871854625,325.7027344450838
249104000.csv,Linear,44.69566682670526,66.08193207722339,88.08710452830589,108.58615710110533,128.22240723173852,150.72130069148557,170.4499783197356,193.77174685914036,207.14599724642235,227.97841247670505,258.16016652922207,280.6749832708967,286.737110973533,295.56552476347105,306.9426335139919,323.52455801665565,343.5599570909297,386.51747817535244,411.7714114167404,439.93478400954115
518866000.csv,Kalman,9.700189222994364,10.685305078707376,14.971379870029548,20.602198388364076,31.293060220668306,45.14440730499061,59.06095321881071,79.2503451462677,82.56366121172758,83.75199169900704,98.80776740683932,167.65611274456012,140.57489485185826,144.9173210388139,162.26905273733342,158.21973983889157,141.85534335718978,146.64191489224612,201.93352804389914,134.3974008986191
518866000.csv,Linear,83.66164755971272,123.90110252682145,165.21984808920845,205.42268674033625,240.14535475705276,283.5692081043797,312.07340296263857,361.1387855622271,381.766801365775,413.5963410780279,470.28452431892447,512.7842519188581,523.9422550506838,537.144952773807,566.2225406585184,593.3351949112359,633.0791191245856,674.6815327587094,720.1969430788201,770.9862813913924
276700000.csv,Kalman,8.80463841730425,9.782954623820526,10.720143059545697,13.305866856271154,16.171070454620867,18.223721409862794,22.30132503322169,27.2239577734062,31.552986658354264,36.75692513967721,43.749474724106044,49.3906288015273,59.215913588402174,58.774460388454656,62.38530456075401,65.63052359435042,68.99081395001923,72.71672350419922,82.72457264995371,88.52570391071
276700000.csv,Linear,30.535316818969047,44.75792520217625,58.57068984904683,72.45815136681834,86.09782002918054,102.57475504981173,114.20262977738625,130.7433578392845,141.68288914690334,153.66814670924825,173.41237692428703,190.62740432857714,211.06637519432584,214.8703668374737,221.1972828596698,231.01144733040434,250.4250569460641,261.74813899639787,261.6266994701221,276.62451607130845
577228000.csv,Kalman,9.92504351547647,13.71182697243294,30.20441162978072,63.49135549081946,104.40717492869491,167.05146049972265,219.35797481434219,265.7015833572646,245.0623594469951,234.58515755336236,264.9246863758916,290.4958553728804,284.59110619021965,288.53767706062973,267.4037192281013,229.65893031255095,207.95510755316337,201.47866559391977,328.5441062223602,404.69970004423976
577228000.csv,Linear,44.52868598716828,65.77188613547237,86.14266894383462,108.93705746468218,125.24022686059202,145.98627311807329,164.3112785828718,184.94745243532242,197.39769264071577,223.57445377611546,249.08527308291744,260.7885057533917,261.78136826464464,269.2167433683401,287.57080263966435,329.7826180639749,355.2164811579598,369.27347567763286,538.8168977333814,582.1441475078798
227558000.csv,Kalman,9.209855977405491,25.342799743024745,73.9044933293953,149.4255170412393,233.38567144704732,344.88007923521116,358.74993088699625,510.03226062237485,489.6062093658418,404.9648970075818,309.2295959743931,369.6390300140598,390.01195611642004,441.9836307678862,503.52324821709686,554.6177360980249,565.8837542150685,551.9757066767296,508.5052364335944,439.3770317776529
227558000.csv,Linear,69.66723680418865,104.03113626378868,137.4386903266025,172.21945218652994,200.36987805762536,239.071570348005,262.0386979325858,306.76435151815383,324.1190463275795,356.51554509356953,403.6539663939924,446.8046311076388,445.55601658744405,458.3350852670775,476.89438191397215,501.5516501871044,531.2562488671143,567.2700424044333,608.1078775780093,654.5303340513241
227364000.csv,Kalman,13.769850027464978,20.49921158829122,43.6091868245902,77.56382487854572,139.56346799756378,173.4313029091406,203.4868192421546,391.2143157753047,332.8269606547962,254.74494993600322,300.58438381380694,378.28990577241746,382.66796770833565,333.12160336638846,357.42033529632835,383.9555155794273,605.0254442479867,273.67408578965234,279.58444086814546,382.0980902896785
227364000.csv,Linear,111.33198741362285,166.2131233849732,219.3001960073076,274.7686578319299,322.20707052857864,367.9686164599274,416.95507208260335,480.22169151255713,511.33143992305827,557.4733682472678,614.0500158194637,647.0570558908252,673.7467362699186,714.3944246014969,918.8373622730888,1222.7163845285427,1244.879411817487,896.1413929878207,952.424939016919,1063.826052814051
